uri,author,created,text
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lonnscppic2u,yolandadiaz.bsky.social,2025-05-08T10:01:55.429Z,Este sábado respondemos dudas y preguntas sobre la reducción de la jornada laboral.  📲Puedes dejarnos la tuya aquí: sumar.ink/dialogo10m  🔴Podéis seguirlo en este enlace a partir de las 11h youtube.com/live/uU9I2Ac...
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lonjijamns2u,yolandadiaz.bsky.social,2025-05-08T08:44:51.765Z,Se acabó el abuso de las horas extras sin pagar.  La Inspección podrá tener acceso inmediato al registro al ser digital e interoperable.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lom54cmnv22j,yolandadiaz.bsky.social,2025-05-07T19:30:37.532Z,Los neoliberales piden a las personas trabajadoras italianas que no vayan a votar por sus derechos laborales.  Lo hacen porque saben lo que vale un voto y lo que vale la esperanza. Os quieren tristes. No les deis ese placer
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lom37jmq5k2j,yolandadiaz.bsky.social,2025-05-07T18:56:38.042Z,En Italia están en juego los derechos de las personas trabajadoras. Me he reunido con Maurizio Landini para mostrarle mi apoyo en estos momentos decisivos.  La internacional reaccionaria pone en juego la Europa de derechos. Los frenaremos con avances y construyendo la internacional de la esperanza.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lol5g4mgks23,yolandadiaz.bsky.social,2025-05-07T10:03:27.034Z,La luz es un derecho. El suministro no puede estar en manos privadas que sigan los intereses de unos pocos.  Red Eléctrica debe ser pública cuanto antes.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lojnxuty5k2h,yolandadiaz.bsky.social,2025-05-06T19:54:23.262Z,"Emociona haber tenido el placer de compartir espacio, tiempo y país con un ser humano de la magnitud de Almudena Grandes.  Este documental de Azucena Rodríguez rinde homenaje a la mujer que sigue llenándonos de esperanza y alegría. Porque la alegría, como decía ella, es una forma de resistencia."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loiyktvhj22j,yolandadiaz.bsky.social,2025-05-06T13:31:17.475Z,Ahora los partidos tienen que demostrar qué prefieren: golpear al gobierno o mejorar la vida de más de 12 millones de personas trabajadoras.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loilpdkgqk22,yolandadiaz.bsky.social,2025-05-06T09:41:09.474Z,Los grandes datos de empleo demuestran que se equivocaron los que decían que la reforma laboral era mala para el país.  Se equivocarán los que hoy dicen lo mismo de la reducción de jornada.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loicktual225,yolandadiaz.bsky.social,2025-05-06T06:57:32.492Z,"A pesar de los buenos datos, no nos rendimos. Sabemos que queda mucho por hacer. Mientras haya una persona en paro, vamos a seguir mejorando la vida de las trabajadoras.  Seguiremos demostrando que mejorar empleo, el crecimiento económico y los derechos van de la mano."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loicktu6mk25,yolandadiaz.bsky.social,2025-05-06T06:57:32.491Z,"Demostramos que cuando se gobierna con voluntad, las cosas cambian. Hoy celebramos los buenos datos de empleo. Nunca antes había tanta gente trabajando en nuestro país: 21.588.639 personas.  Pero hoy también seguimos avanzando: sale del Consejo de Ministros la ley para reducir la jornada laboral."
